全国地方公共団体コード,都道府県名,市区町村名,受付_年月日,曜日,相談件数
130001,東京都,,2020-01-29,水,23
130001,東京都,,2020-01-30,木,324
130001,東京都,,2020-01-31,金,402
130001,東京都,,2020-02-01,土,276
130001,東京都,,2020-02-02,日,193
130001,東京都,,2020-02-03,月,339
130001,東京都,,2020-02-04,火,227
130001,東京都,,2020-02-05,水,246
130001,東京都,,2020-02-06,木,170
130001,東京都,,2020-02-07,金,176
130001,東京都,,2020-02-08,土,125
130001,東京都,,2020-02-09,日,79
130001,東京都,,2020-02-10,月,156
130001,東京都,,2020-02-11,火,78
130001,東京都,,2020-02-12,水,149
130001,東京都,,2020-02-13,木,153
130001,東京都,,2020-02-14,金,300
130001,東京都,,2020-02-15,土,294
130001,東京都,,2020-02-16,日,313
130001,東京都,,2020-02-17,月,402
130001,東京都,,2020-02-18,火,375
130001,東京都,,2020-02-19,水,403
130001,東京都,,2020-02-20,木,334
130001,東京都,,2020-02-21,金,481
130001,東京都,,2020-02-22,土,487
130001,東京都,,2020-02-23,日,466
130001,東京都,,2020-02-24,月,439
130001,東京都,,2020-02-25,火,460
130001,東京都,,2020-02-26,水,428
130001,東京都,,2020-02-27,木,414
130001,東京都,,2020-02-28,金,508
130001,東京都,,2020-02-29,土,457
130001,東京都,,2020-03-01,日,474
130001,東京都,,2020-03-02,月,399
130001,東京都,,2020-03-03,火,592
130001,東京都,,2020-03-04,水,516
130001,東京都,,2020-03-05,木,536
130001,東京都,,2020-03-06,金,571
130001,東京都,,2020-03-07,土,588
130001,東京都,,2020-03-08,日,575
130001,東京都,,2020-03-09,月,666
130001,東京都,,2020-03-10,火,683
130001,東京都,,2020-03-11,水,638
130001,東京都,,2020-03-12,木,567
130001,東京都,,2020-03-13,金,653
130001,東京都,,2020-03-14,土,560
130001,東京都,,2020-03-15,日,591
130001,東京都,,2020-03-16,月,747
130001,東京都,,2020-03-17,火,691
130001,東京都,,2020-03-18,水,863
130001,東京都,,2020-03-19,木,795
130001,東京都,,2020-03-20,金,718
130001,東京都,,2020-03-21,土,519
130001,東京都,,2020-03-22,日,517
130001,東京都,,2020-03-23,月,772
130001,東京都,,2020-03-24,火,752
130001,東京都,,2020-03-25,水,659
130001,東京都,,2020-03-26,木,718
130001,東京都,,2020-03-27,金,784
130001,東京都,,2020-03-28,土,632
130001,東京都,,2020-03-29,日,522
130001,東京都,,2020-03-30,月,509
130001,東京都,,2020-03-31,火,745
130001,東京都,,2020-04-01,水,1084
130001,東京都,,2020-04-02,木,1025
130001,東京都,,2020-04-03,金,867
130001,東京都,,2020-04-04,土,1182
130001,東京都,,2020-04-05,日,944
130001,東京都,,2020-04-06,月,731
130001,東京都,,2020-04-07,火,727
130001,東京都,,2020-04-08,水,787
130001,東京都,,2020-04-09,木,768
130001,東京都,,2020-04-10,金,990
130001,東京都,,2020-04-11,土,724
130001,東京都,,2020-04-12,日,956
130001,東京都,,2020-04-13,月,1303
130001,東京都,,2020-04-14,火,1629
130001,東京都,,2020-04-15,水,1957
130001,東京都,,2020-04-16,木,1853
130001,東京都,,2020-04-17,金,1866
130001,東京都,,2020-04-18,土,2265
130001,東京都,,2020-04-19,日,1842
130001,東京都,,2020-04-20,月,2067
130001,東京都,,2020-04-21,火,2153
130001,東京都,,2020-04-22,水,1921
130001,東京都,,2020-04-23,木,2095
130001,東京都,,2020-04-24,金,2187
130001,東京都,,2020-04-25,土,2114
130001,東京都,,2020-04-26,日,2141
130001,東京都,,2020-04-27,月,1972
130001,東京都,,2020-04-28,火,1548
130001,東京都,,2020-04-29,水,1806
130001,東京都,,2020-04-30,木,1928
130001,東京都,,2020-05-01,金,1700
130001,東京都,,2020-05-02,土,1727
130001,東京都,,2020-05-03,日,1632
130001,東京都,,2020-05-04,月,1765
130001,東京都,,2020-05-05,火,1684
130001,東京都,,2020-05-06,水,1757
130001,東京都,,2020-05-07,木,1660
130001,東京都,,2020-05-08,金,1152
130001,東京都,,2020-05-09,土,1718
130001,東京都,,2020-05-10,日,1678
130001,東京都,,2020-05-11,月,1465
130001,東京都,,2020-05-12,火,996
130001,東京都,,2020-05-13,水,980
130001,東京都,,2020-05-14,木,870
130001,東京都,,2020-05-15,金,832
130001,東京都,,2020-05-16,土,868
130001,東京都,,2020-05-17,日,794
130001,東京都,,2020-05-18,月,778
130001,東京都,,2020-05-19,火,597
130001,東京都,,2020-05-20,水,505
130001,東京都,,2020-05-21,木,453
130001,東京都,,2020-05-22,金,445
130001,東京都,,2020-05-23,土,465
130001,東京都,,2020-05-24,日,457
130001,東京都,,2020-05-25,月,568
130001,東京都,,2020-05-26,火,514
130001,東京都,,2020-05-27,水,491
130001,東京都,,2020-05-28,木,489
130001,東京都,,2020-05-29,金,529
130001,東京都,,2020-05-30,土,529
130001,東京都,,2020-05-31,日,499
130001,東京都,,2020-06-01,月,658
130001,東京都,,2020-06-02,火,672
130001,東京都,,2020-06-03,水,728
130001,東京都,,2020-06-04,木,668
130001,東京都,,2020-06-05,金,630
130001,東京都,,2020-06-06,土,677
130001,東京都,,2020-06-07,日,602
130001,東京都,,2020-06-08,月,775
130001,東京都,,2020-06-09,火,559
130001,東京都,,2020-06-10,水,551
130001,東京都,,2020-06-11,木,519
130001,東京都,,2020-06-12,金,439
130001,東京都,,2020-06-13,土,425
130001,東京都,,2020-06-14,日,456
130001,東京都,,2020-06-15,月,574
130001,東京都,,2020-06-16,火,470
130001,東京都,,2020-06-17,水,413
130001,東京都,,2020-06-18,木,436
130001,東京都,,2020-06-19,金,416
130001,東京都,,2020-06-20,土,453
130001,東京都,,2020-06-21,日,364
130001,東京都,,2020-06-22,月,504
130001,東京都,,2020-06-23,火,439
130001,東京都,,2020-06-24,水,505
130001,東京都,,2020-06-25,木,514
130001,東京都,,2020-06-26,金,510
130001,東京都,,2020-06-27,土,498
130001,東京都,,2020-06-28,日,542
130001,東京都,,2020-06-29,月,698
130001,東京都,,2020-06-30,火,635
130001,東京都,,2020-07-01,水,640
130001,東京都,,2020-07-02,木,783
130001,東京都,,2020-07-03,金,891
130001,東京都,,2020-07-04,土,970
130001,東京都,,2020-07-05,日,951
130001,東京都,,2020-07-06,月,1064
130001,東京都,,2020-07-07,火,820
130001,東京都,,2020-07-08,水,912
130001,東京都,,2020-07-09,木,1174
130001,東京都,,2020-07-10,金,1236
130001,東京都,,2020-07-11,土,1234
130001,東京都,,2020-07-12,日,1254
130001,東京都,,2020-07-13,月,1389
130001,東京都,,2020-07-14,火,1264
130001,東京都,,2020-07-15,水,1262
130001,東京都,,2020-07-16,木,1304
130001,東京都,,2020-07-17,金,1400
130001,東京都,,2020-07-18,土,1663
130001,東京都,,2020-07-19,日,1556
130001,東京都,,2020-07-20,月,1636
130001,東京都,,2020-07-21,火,1391
130001,東京都,,2020-07-22,水,1576
130001,東京都,,2020-07-23,木,1758
130001,東京都,,2020-07-24,金,1706
130001,東京都,,2020-07-25,土,1789
130001,東京都,,2020-07-26,日,1627
130001,東京都,,2020-07-27,月,1732
130001,東京都,,2020-07-28,火,1359
130001,東京都,,2020-07-29,水,1224
130001,東京都,,2020-07-30,木,1337
130001,東京都,,2020-07-31,金,1428
130001,東京都,,2020-08-01,土,1432
130001,東京都,,2020-08-02,日,1328
130001,東京都,,2020-08-03,月,1475
130001,東京都,,2020-08-04,火,1157
130001,東京都,,2020-08-05,水,1110
130001,東京都,,2020-08-06,木,1031
130001,東京都,,2020-08-07,金,1098
130001,東京都,,2020-08-08,土,1370
130001,東京都,,2020-08-09,日,1282
130001,東京都,,2020-08-10,月,1269
130001,東京都,,2020-08-11,火,1058
130001,東京都,,2020-08-12,水,766
130001,東京都,,2020-08-13,木,810
130001,東京都,,2020-08-14,金,836
130001,東京都,,2020-08-15,土,1192
130001,東京都,,2020-08-16,日,1015
130001,東京都,,2020-08-17,月,1089
130001,東京都,,2020-08-18,火,791
130001,東京都,,2020-08-19,水,783
130001,東京都,,2020-08-20,木,754
130001,東京都,,2020-08-21,金,634
130001,東京都,,2020-08-22,土,924
130001,東京都,,2020-08-23,日,733
130001,東京都,,2020-08-24,月,827
130001,東京都,,2020-08-25,火,626
130001,東京都,,2020-08-26,水,679
130001,東京都,,2020-08-27,木,708
130001,東京都,,2020-08-28,金,650
130001,東京都,,2020-08-29,土,836
130001,東京都,,2020-08-30,日,764
130001,東京都,,2020-08-31,月,785
130001,東京都,,2020-09-01,火,650
130001,東京都,,2020-09-02,水,710
130001,東京都,,2020-09-03,木,709
130001,東京都,,2020-09-04,金,652
130001,東京都,,2020-09-05,土,824
130001,東京都,,2020-09-06,日,657
130001,東京都,,2020-09-07,月,799
130001,東京都,,2020-09-08,火,603
130001,東京都,,2020-09-09,水,605
130001,東京都,,2020-09-10,木,601
130001,東京都,,2020-09-11,金,604
130001,東京都,,2020-09-12,土,824
130001,東京都,,2020-09-13,日,585
130001,東京都,,2020-09-14,月,688
130001,東京都,,2020-09-15,火,528
130001,東京都,,2020-09-16,水,511
130001,東京都,,2020-09-17,木,533
130001,東京都,,2020-09-18,金,558
130001,東京都,,2020-09-19,土,609
130001,東京都,,2020-09-20,日,634
130001,東京都,,2020-09-21,月,669
130001,東京都,,2020-09-22,火,695
130001,東京都,,2020-09-23,水,580
130001,東京都,,2020-09-24,木,544
130001,東京都,,2020-09-25,金,559
130001,東京都,,2020-09-26,土,613
130001,東京都,,2020-09-27,日,488
130001,東京都,,2020-09-28,月,608
130001,東京都,,2020-09-29,火,458
130001,東京都,,2020-09-30,水,429
130001,東京都,,2020-10-01,木,434
130001,東京都,,2020-10-02,金,391
130001,東京都,,2020-10-03,土,506
130001,東京都,,2020-10-04,日,490
130001,東京都,,2020-10-05,月,576
130001,東京都,,2020-10-06,火,460
130001,東京都,,2020-10-07,水,475
130001,東京都,,2020-10-08,木,412
130001,東京都,,2020-10-09,金,390
130001,東京都,,2020-10-10,土,449
130001,東京都,,2020-10-11,日,455
