全国地方公共団体コード,都道府県名,市区町村名,発生_年月日,救急医療_東京ルール適用件数,救急医療_東京ルール適用件数_7日間移動平均値
130001,東京都,,2020-03-01,47,
130001,東京都,,2020-03-02,20,
130001,東京都,,2020-03-03,25,
130001,東京都,,2020-03-04,25,
130001,東京都,,2020-03-05,23,
130001,東京都,,2020-03-06,28,
130001,東京都,,2020-03-07,34,28.9
130001,東京都,,2020-03-08,25,25.7
130001,東京都,,2020-03-09,38,28.3
130001,東京都,,2020-03-10,19,27.4
130001,東京都,,2020-03-11,19,26.6
130001,東京都,,2020-03-12,23,26.6
130001,東京都,,2020-03-13,25,26.1
130001,東京都,,2020-03-14,22,24.4
130001,東京都,,2020-03-15,32,25.4
130001,東京都,,2020-03-16,42,26
130001,東京都,,2020-03-17,15,25.4
130001,東京都,,2020-03-18,28,26.7
130001,東京都,,2020-03-19,24,26.9
130001,東京都,,2020-03-20,38,28.7
130001,東京都,,2020-03-21,29,29.7
130001,東京都,,2020-03-22,37,30.4
130001,東京都,,2020-03-23,24,27.9
130001,東京都,,2020-03-24,26,29.4
130001,東京都,,2020-03-25,27,29.3
130001,東京都,,2020-03-26,24,29.3
130001,東京都,,2020-03-27,41,29.7
130001,東京都,,2020-03-28,41,31.4
130001,東京都,,2020-03-29,39,31.7
130001,東京都,,2020-03-30,48,35.1
130001,東京都,,2020-03-31,43,37.6
130001,東京都,,2020-04-01,48,40.6
130001,東京都,,2020-04-02,53,44.7
130001,東京都,,2020-04-03,69,48.7
130001,東京都,,2020-04-04,76,53.7
130001,東京都,,2020-04-05,82,59.9
130001,東京都,,2020-04-06,78,64.1
130001,東京都,,2020-04-07,99,72.1
130001,東京都,,2020-04-08,81,76.9
130001,東京都,,2020-04-09,89,82
130001,東京都,,2020-04-10,69,82
130001,東京都,,2020-04-11,84,83.1
130001,東京都,,2020-04-12,108,86.9
130001,東京都,,2020-04-13,82,87.4
130001,東京都,,2020-04-14,79,84.6
130001,東京都,,2020-04-15,98,87
130001,東京都,,2020-04-16,53,81.9
130001,東京都,,2020-04-17,55,79.9
130001,東京都,,2020-04-18,88,80.4
130001,東京都,,2020-04-19,118,81.9
130001,東京都,,2020-04-20,67,79.7
130001,東京都,,2020-04-21,64,77.6
130001,東京都,,2020-04-22,69,73.4
130001,東京都,,2020-04-23,50,73
130001,東京都,,2020-04-24,78,76.3
130001,東京都,,2020-04-25,82,75.4
130001,東京都,,2020-04-26,100,72.9
130001,東京都,,2020-04-27,73,73.7
130001,東京都,,2020-04-28,85,76.7
130001,東京都,,2020-04-29,108,82.3
130001,東京都,,2020-04-30,80,86.6
130001,東京都,,2020-05-01,61,84.1
130001,東京都,,2020-05-02,121,89.7
130001,東京都,,2020-05-03,103,90.1
130001,東京都,,2020-05-04,115,96.1
130001,東京都,,2020-05-05,112,100
130001,東京都,,2020-05-06,70,94.6
130001,東京都,,2020-05-07,66,92.6
130001,東京都,,2020-05-08,68,93.6
130001,東京都,,2020-05-09,57,84.4
130001,東京都,,2020-05-10,81,81.3
130001,東京都,,2020-05-11,61,73.6
130001,東京都,,2020-05-12,46,64.1
130001,東京都,,2020-05-13,42,60.1
130001,東京都,,2020-05-14,45,57.1
130001,東京都,,2020-05-15,34,52.3
130001,東京都,,2020-05-16,37,49.4
130001,東京都,,2020-05-17,73,48.3
130001,東京都,,2020-05-18,44,45.9
130001,東京都,,2020-05-19,27,43.1
130001,東京都,,2020-05-20,20,40
130001,東京都,,2020-05-21,33,38.3
130001,東京都,,2020-05-22,30,37.7
130001,東京都,,2020-05-23,28,36.4
130001,東京都,,2020-05-24,35,31
130001,東京都,,2020-05-25,35,29.7
130001,東京都,,2020-05-26,30,30.1
130001,東京都,,2020-05-27,30,31.6
130001,東京都,,2020-05-28,30,31.1
130001,東京都,,2020-05-29,23,30.1
130001,東京都,,2020-05-30,33,30.9
130001,東京都,,2020-05-31,36,31
130001,東京都,,2020-06-01,32,30.6
130001,東京都,,2020-06-02,28,30.3
130001,東京都,,2020-06-03,38,31.4
130001,東京都,,2020-06-04,27,31
130001,東京都,,2020-06-05,30,32
130001,東京都,,2020-06-06,39,32.9
130001,東京都,,2020-06-07,41,33.6
130001,東京都,,2020-06-08,28,33
130001,東京都,,2020-06-09,28,33
130001,東京都,,2020-06-10,30,31.9
130001,東京都,,2020-06-11,30,32.3
130001,東京都,,2020-06-12,27,31.9
130001,東京都,,2020-06-13,31,30.7
130001,東京都,,2020-06-14,41,30.7
130001,東京都,,2020-06-15,41,32.6
130001,東京都,,2020-06-16,25,32.1
130001,東京都,,2020-06-17,21,30.9
130001,東京都,,2020-06-18,20,29.4
130001,東京都,,2020-06-19,22,28.7
130001,東京都,,2020-06-20,22,27.4
130001,東京都,,2020-06-21,64,30.7
130001,東京都,,2020-06-22,28,28.9
130001,東京都,,2020-06-23,30,29.6
130001,東京都,,2020-06-24,33,31.3
130001,東京都,,2020-06-25,27,32.3
130001,東京都,,2020-06-26,34,34
130001,東京都,,2020-06-27,32,35.4
130001,東京都,,2020-06-28,29,30.4
130001,東京都,,2020-06-29,27,30.3
130001,東京都,,2020-06-30,27,29.9
130001,東京都,,2020-07-01,25,28.7
130001,東京都,,2020-07-02,26,28.6
130001,東京都,,2020-07-03,11,25.3
130001,東京都,,2020-07-04,34,25.6
130001,東京都,,2020-07-05,35,26.4
130001,東京都,,2020-07-06,27,26.4
130001,東京都,,2020-07-07,29,26.7
130001,東京都,,2020-07-08,23,26.4
130001,東京都,,2020-07-09,27,26.6
130001,東京都,,2020-07-10,22,28.1
130001,東京都,,2020-07-11,38,28.7
130001,東京都,,2020-07-12,48,30.6
130001,東京都,,2020-07-13,33,31.4
130001,東京都,,2020-07-14,28,31.3
130001,東京都,,2020-07-15,23,31.3
130001,東京都,,2020-07-16,25,31
130001,東京都,,2020-07-17,25,31.4
130001,東京都,,2020-07-18,25,29.6
130001,東京都,,2020-07-19,39,28.3
130001,東京都,,2020-07-20,53,31.1
130001,東京都,,2020-07-21,27,31
130001,東京都,,2020-07-22,49,34.7
130001,東京都,,2020-07-23,49,38.1
130001,東京都,,2020-07-24,45,41
130001,東京都,,2020-07-25,51,44.7
130001,東京都,,2020-07-26,44,45.4
130001,東京都,,2020-07-27,38,43.3
130001,東京都,,2020-07-28,39,45
130001,東京都,,2020-07-29,43,44.1
130001,東京都,,2020-07-30,33,41.9
130001,東京都,,2020-07-31,34,40.3
130001,東京都,,2020-08-01,46,39.6
130001,東京都,,2020-08-02,49,40.3
130001,東京都,,2020-08-03,38,40.3
130001,東京都,,2020-08-04,50,41.9
130001,東京都,,2020-08-05,46,42.3
130001,東京都,,2020-08-06,46,44.1
130001,東京都,,2020-08-07,52,46.7
130001,東京都,,2020-08-08,61,48.9
130001,東京都,,2020-08-09,65,51.1
130001,東京都,,2020-08-10,82,57.4
130001,東京都,,2020-08-11,93,63.6
130001,東京都,,2020-08-12,69,66.9
130001,東京都,,2020-08-13,76,71.1
130001,東京都,,2020-08-14,55,71.6
130001,東京都,,2020-08-15,81,74.4
130001,東京都,,2020-08-16,101,79.6
130001,東京都,,2020-08-17,82,79.6
130001,東京都,,2020-08-18,67,75.9
130001,東京都,,2020-08-19,56,74
130001,東京都,,2020-08-20,51,70.4
130001,東京都,,2020-08-21,43,68.7
130001,東京都,,2020-08-22,48,64
130001,東京都,,2020-08-23,48,56.4
130001,東京都,,2020-08-24,49,51.7
130001,東京都,,2020-08-25,48,49
130001,東京都,,2020-08-26,36,46.1
130001,東京都,,2020-08-27,44,45.1
130001,東京都,,2020-08-28,51,46.3
130001,東京都,,2020-08-29,41,45.3
130001,東京都,,2020-08-30,61,47.1
130001,東京都,,2020-08-31,53,47.7
130001,東京都,,2020-09-01,45,47.3
130001,東京都,,2020-09-02,39,47.7
130001,東京都,,2020-09-03,36,46.6
130001,東京都,,2020-09-04,34,44.1
130001,東京都,,2020-09-05,49,45.3
130001,東京都,,2020-09-06,49,43.6
130001,東京都,,2020-09-07,38,41.4
