date, visitor
"20200201",400000
"20200202",302000
"20200203",974000
"20200204",985000
"20200205",977000
"20200206",989000
"20200207",987000
"20200208",399000
"20200209",302000
"20200210",904000
"20200211",345000
"20200212",980000
"20200213",987000
"20200214",995000
"20200215",404000
"20200216",282000
"20200217",969000
"20200218",970000
"20200219",960000
"20200220",970000
"20200221",968000
"20200222",379000
"20200223",291000
"20200224",299000
"20200225",957000
"20200226",949000
"20200227",937000
"20200228",932000
"20200229",329000
"20200301",232000
"20200302",889000
"20200303",883000
"20200304",859000
"20200305",867000
"20200306",865000
"20200307",308000
"20200308",213000
"20200309",872000
"20200310",864000
"20200311",858000
"20200312",862000
"20200313",865000
"20200314",300000
"20200315",240000
"20200316",890000
"20200317",889000
"20200318",884000
