全国地方公共団体コード,都道府県名,市区町村名,受付_年月日,発熱等相談件数,発熱等相談件数_7日間移動平均値
130001,東京都,,2020-03-01,103,
130001,東京都,,2020-03-02,61,
130001,東京都,,2020-03-03,73,
130001,東京都,,2020-03-04,81,
130001,東京都,,2020-03-05,58,
130001,東京都,,2020-03-06,46,
130001,東京都,,2020-03-07,65,69.6
130001,東京都,,2020-03-08,79,66.1
130001,東京都,,2020-03-09,70,67.4
130001,東京都,,2020-03-10,65,66.3
130001,東京都,,2020-03-11,63,63.7
130001,東京都,,2020-03-12,54,63.1
130001,東京都,,2020-03-13,58,64.9
130001,東京都,,2020-03-14,65,64.9
130001,東京都,,2020-03-15,72,63.9
130001,東京都,,2020-03-16,55,61.7
130001,東京都,,2020-03-17,64,61.6
130001,東京都,,2020-03-18,56,60.6
130001,東京都,,2020-03-19,65,62.1
130001,東京都,,2020-03-20,50,61
130001,東京都,,2020-03-21,64,60.9
130001,東京都,,2020-03-22,98,64.6
130001,東京都,,2020-03-23,70,66.7
130001,東京都,,2020-03-24,50,64.7
130001,東京都,,2020-03-25,71,66.9
130001,東京都,,2020-03-26,75,68.3
130001,東京都,,2020-03-27,66,70.6
130001,東京都,,2020-03-28,108,76.9
130001,東京都,,2020-03-29,87,75.3
130001,東京都,,2020-03-30,107,80.6
130001,東京都,,2020-03-31,113,89.6
130001,東京都,,2020-04-01,101,93.9
130001,東京都,,2020-04-02,125,101
130001,東京都,,2020-04-03,85,103.7
130001,東京都,,2020-04-04,149,109.6
130001,東京都,,2020-04-05,140,117.1
130001,東京都,,2020-04-06,99,116
130001,東京都,,2020-04-07,99,114
130001,東京都,,2020-04-08,106,114.7
130001,東京都,,2020-04-09,115,113.3
130001,東京都,,2020-04-10,66,110.6
130001,東京都,,2020-04-11,93,102.6
130001,東京都,,2020-04-12,132,101.4
130001,東京都,,2020-04-13,79,98.6
130001,東京都,,2020-04-14,76,95.3
130001,東京都,,2020-04-15,79,91.4
130001,東京都,,2020-04-16,60,83.6
130001,東京都,,2020-04-17,70,84.1
130001,東京都,,2020-04-18,93,84.1
