全国地方公共団体コード,都道府県名,市区町村名,確定_年月日,陽性者数
130001,東京都,,2020-01-23,2
130001,東京都,,2020-01-24,0
130001,東京都,,2020-01-25,0
130001,東京都,,2020-01-26,0
130001,東京都,,2020-01-27,0
130001,東京都,,2020-01-28,0
130001,東京都,,2020-01-29,0
130001,東京都,,2020-01-30,1
130001,東京都,,2020-01-31,0
130001,東京都,,2020-02-01,0
130001,東京都,,2020-02-02,0
130001,東京都,,2020-02-03,0
130001,東京都,,2020-02-04,0
130001,東京都,,2020-02-05,0
130001,東京都,,2020-02-06,0
130001,東京都,,2020-02-07,0
130001,東京都,,2020-02-08,0
130001,東京都,,2020-02-09,0
130001,東京都,,2020-02-10,0
130001,東京都,,2020-02-11,0
130001,東京都,,2020-02-12,1
130001,東京都,,2020-02-13,1
130001,東京都,,2020-02-14,2
130001,東京都,,2020-02-15,7
130001,東京都,,2020-02-16,5
130001,東京都,,2020-02-17,1
130001,東京都,,2020-02-18,3
130001,東京都,,2020-02-19,4
130001,東京都,,2020-02-20,0
130001,東京都,,2020-02-21,4
130001,東京都,,2020-02-22,0
130001,東京都,,2020-02-23,0
130001,東京都,,2020-02-24,3
130001,東京都,,2020-02-25,0
130001,東京都,,2020-02-26,4
130001,東京都,,2020-02-27,0
130001,東京都,,2020-02-28,0
130001,東京都,,2020-02-29,1
130001,東京都,,2020-03-01,1
130001,東京都,,2020-03-02,0
130001,東京都,,2020-03-03,2
130001,東京都,,2020-03-04,4
130001,東京都,,2020-03-05,4
130001,東京都,,2020-03-06,7
130001,東京都,,2020-03-07,6
130001,東京都,,2020-03-08,1
130001,東京都,,2020-03-09,0
130001,東京都,,2020-03-10,4
130001,東京都,,2020-03-11,4
130001,東京都,,2020-03-12,4
130001,東京都,,2020-03-13,6
130001,東京都,,2020-03-14,5
130001,東京都,,2020-03-15,3
130001,東京都,,2020-03-16,4
130001,東京都,,2020-03-17,10
130001,東京都,,2020-03-18,10
130001,東京都,,2020-03-19,9
130001,東京都,,2020-03-20,8
130001,東京都,,2020-03-21,7
130001,東京都,,2020-03-22,4
130001,東京都,,2020-03-23,19
130001,東京都,,2020-03-24,29
130001,東京都,,2020-03-25,47
130001,東京都,,2020-03-26,35
130001,東京都,,2020-03-27,54
130001,東京都,,2020-03-28,62
130001,東京都,,2020-03-29,55
130001,東京都,,2020-03-30,52
130001,東京都,,2020-03-31,63
130001,東京都,,2020-04-01,109
130001,東京都,,2020-04-02,88
130001,東京都,,2020-04-03,155
130001,東京都,,2020-04-04,134
130001,東京都,,2020-04-05,85
130001,東京都,,2020-04-06,85
130001,東京都,,2020-04-07,132
130001,東京都,,2020-04-08,198
130001,東京都,,2020-04-09,266
130001,東京都,,2020-04-10,190
130001,東京都,,2020-04-11,235
130001,東京都,,2020-04-12,147
130001,東京都,,2020-04-13,188
130001,東京都,,2020-04-14,129
130001,東京都,,2020-04-15,190
130001,東京都,,2020-04-16,226
130001,東京都,,2020-04-17,196
130001,東京都,,2020-04-18,157
130001,東京都,,2020-04-19,91
130001,東京都,,2020-04-20,113
130001,東京都,,2020-04-21,113
130001,東京都,,2020-04-22,130
130001,東京都,,2020-04-23,115
130001,東京都,,2020-04-24,116
130001,東京都,,2020-04-25,107
130001,東京都,,2020-04-26,61
130001,東京都,,2020-04-27,69
130001,東京都,,2020-04-28,99
130001,東京都,,2020-04-29,66
130001,東京都,,2020-04-30,101
130001,東京都,,2020-05-01,56
130001,東京都,,2020-05-02,77
130001,東京都,,2020-05-03,60
130001,東京都,,2020-05-04,39
130001,東京都,,2020-05-05,32
130001,東京都,,2020-05-06,23
130001,東京都,,2020-05-07,25
130001,東京都,,2020-05-08,22
130001,東京都,,2020-05-09,34
130001,東京都,,2020-05-10,28
130001,東京都,,2020-05-11,11
130001,東京都,,2020-05-12,11
130001,東京都,,2020-05-13,20
130001,東京都,,2020-05-14,12
130001,東京都,,2020-05-15,10
130001,東京都,,2020-05-16,8
130001,東京都,,2020-05-17,3
130001,東京都,,2020-05-18,7
130001,東京都,,2020-05-19,2
130001,東京都,,2020-05-20,11
130001,東京都,,2020-05-21,4
130001,東京都,,2020-05-22,8
130001,東京都,,2020-05-23,6
130001,東京都,,2020-05-24,7
130001,東京都,,2020-05-25,8
130001,東京都,,2020-05-26,12
130001,東京都,,2020-05-27,16
130001,東京都,,2020-05-28,21
130001,東京都,,2020-05-29,19
130001,東京都,,2020-05-30,7
130001,東京都,,2020-05-31,15
130001,東京都,,2020-06-01,20
