全国地方公共団体コード,都道府県名,市区町村名,公表_年月日,集計区分,陽性者数
131016,東京都,千代田区,2020-03-31,市区町村,3
131024,東京都,中央区,2020-03-31,市区町村,19
131032,東京都,港区,2020-03-31,市区町村,39
131041,東京都,新宿区,2020-03-31,市区町村,22
131059,東京都,文京区,2020-03-31,市区町村,4
131067,東京都,台東区,2020-03-31,市区町村,15
131075,東京都,墨田区,2020-03-31,市区町村,5
131083,東京都,江東区,2020-03-31,市区町村,10
131091,東京都,品川区,2020-03-31,市区町村,24
131105,東京都,目黒区,2020-03-31,市区町村,21
131113,東京都,大田区,2020-03-31,市区町村,15
131121,東京都,世田谷区,2020-03-31,市区町村,44
131130,東京都,渋谷区,2020-03-31,市区町村,18
131148,東京都,中野区,2020-03-31,市区町村,15
131156,東京都,杉並区,2020-03-31,市区町村,28
131164,東京都,豊島区,2020-03-31,市区町村,9
131172,東京都,北区,2020-03-31,市区町村,4
131181,東京都,荒川区,2020-03-31,市区町村,2
131199,東京都,板橋区,2020-03-31,市区町村,4
131202,東京都,練馬区,2020-03-31,市区町村,20
131211,東京都,足立区,2020-03-31,市区町村,8
131229,東京都,葛飾区,2020-03-31,市区町村,6
131237,東京都,江戸川区,2020-03-31,市区町村,8
132012,東京都,八王子市,2020-03-31,市区町村,4
132021,東京都,立川市,2020-03-31,市区町村,0
132039,東京都,武蔵野市,2020-03-31,市区町村,3
132047,東京都,三鷹市,2020-03-31,市区町村,7
132055,東京都,青梅市,2020-03-31,市区町村,1
132063,東京都,府中市,2020-03-31,市区町村,1
132071,東京都,昭島市,2020-03-31,市区町村,0
132080,東京都,調布市,2020-03-31,市区町村,1
132098,東京都,町田市,2020-03-31,市区町村,6
132101,東京都,小金井市,2020-03-31,市区町村,1
132110,東京都,小平市,2020-03-31,市区町村,1
132128,東京都,日野市,2020-03-31,市区町村,3
132136,東京都,東村山市,2020-03-31,市区町村,0
132144,東京都,国分寺市,2020-03-31,市区町村,0
132152,東京都,国立市,2020-03-31,市区町村,0
132187,東京都,福生市,2020-03-31,市区町村,0
132195,東京都,狛江市,2020-03-31,市区町村,0
132209,東京都,東大和市,2020-03-31,市区町村,1
132217,東京都,清瀬市,2020-03-31,市区町村,0
132225,東京都,東久留米市,2020-03-31,市区町村,1
132233,東京都,武蔵村山市,2020-03-31,市区町村,0
132241,東京都,多摩市,2020-03-31,市区町村,0
132250,東京都,稲城市,2020-03-31,市区町村,1
132276,東京都,羽村市,2020-03-31,市区町村,3
132284,東京都,あきる野市,2020-03-31,市区町村,0
132292,東京都,西東京市,2020-03-31,市区町村,8
133035,東京都,瑞穂町,2020-03-31,市区町村,0
133051,東京都,日の出町,2020-03-31,市区町村,0
133078,東京都,檜原村,2020-03-31,市区町村,0
133086,東京都,奥多摩町,2020-03-31,市区町村,0
133612,東京都,大島町,2020-03-31,市区町村,0
133621,東京都,利島村,2020-03-31,市区町村,0
133639,東京都,新島村,2020-03-31,市区町村,0
133647,東京都,神津島村,2020-03-31,市区町村,0
