"year","month","date","prefectureNameJ","prefectureNameE","testedPositive","peopleTested","discharged","deaths"
2020,2,8,"東京都","Tokyo",3,"","",""
2020,2,9,"東京都","Tokyo",3,"","",""
2020,2,10,"東京都","Tokyo",3,"","",""
2020,2,11,"東京都","Tokyo",3,"","",""
2020,2,12,"東京都","Tokyo",3,"","",""
2020,2,13,"東京都","Tokyo",4,"","",""
2020,2,14,"東京都","Tokyo",6,"","",""
2020,2,14,"沖縄県","Okinawa",1,"","",""
2020,2,15,"東京都","Tokyo",14,130,"",""
2020,2,15,"沖縄県","Okinawa",1,"","",""
2020,2,16,"東京都","Tokyo",19,204,"",""
2020,2,16,"沖縄県","Okinawa",1,"","",""
2020,2,17,"東京都","Tokyo",19,211,"",""
2020,2,17,"沖縄県","Okinawa",1,"","",""
2020,2,18,"東京都","Tokyo",22,235,"",""
2020,2,18,"沖縄県","Okinawa",1,"","",""
2020,2,19,"東京都","Tokyo",25,315,"",""
2020,2,19,"沖縄県","Okinawa",2,"","",""
2020,2,20,"東京都","Tokyo",25,375,"",""
2020,2,20,"沖縄県","Okinawa",3,"","",""
2020,2,21,"東京都","Tokyo",28,410,"",""
2020,2,21,"沖縄県","Okinawa",3,"","",""
2020,2,22,"東京都","Tokyo",29,444,"",""
2020,2,22,"沖縄県","Okinawa",3,"","",""
2020,2,23,"東京都","Tokyo",29,451,"",""
2020,2,23,"沖縄県","Okinawa",3,"","",""
2020,2,24,"東京都","Tokyo",32,465,"",""
2020,2,24,"沖縄県","Okinawa",3,"","",""
2020,2,25,"東京都","Tokyo",32,509,"",""
2020,2,25,"沖縄県","Okinawa",3,"","",""
2020,2,26,"東京都","Tokyo",35,560,"",""
2020,2,26,"沖縄県","Okinawa",3,"","",""
2020,2,27,"東京都","Tokyo",36,628,"",""
2020,2,27,"沖縄県","Okinawa",3,"","",""
2020,2,28,"東京都","Tokyo",36,692,"",""
2020,2,28,"沖縄県","Okinawa",3,"","",""
2020,2,29,"東京都","Tokyo",37,748,"",""
2020,2,29,"沖縄県","Okinawa",3,"","",""
2020,3,1,"東京都","Tokyo",39,762,"",""
2020,3,1,"沖縄県","Okinawa",3,"","",""
2020,3,2,"東京都","Tokyo",39,794,"",""
2020,3,2,"沖縄県","Okinawa",3,"","",""
2020,3,3,"東京都","Tokyo",40,868,"",""
2020,3,3,"沖縄県","Okinawa",3,"","",""
2020,3,4,"東京都","Tokyo",44,950,"",""
2020,3,4,"沖縄県","Okinawa",3,"","",""
2020,3,5,"東京都","Tokyo",52,1029,"",""
2020,3,5,"沖縄県","Okinawa",3,"","",""
2020,3,6,"東京都","Tokyo",58,1100,"",""
2020,3,6,"沖縄県","Okinawa",3,"","",""
2020,3,7,"東京都","Tokyo",64,1194,"",""
2020,3,7,"沖縄県","Okinawa",3,"","",""
2020,3,8,"東京都","Tokyo",64,1194,"",""
2020,3,8,"沖縄県","Okinawa",3,"","",""
2020,3,9,"東京都","Tokyo",64,1217,"",""
2020,3,9,"沖縄県","Okinawa",3,"","",""
2020,3,10,"東京都","Tokyo",67,1282,"",""
2020,3,10,"沖縄県","Okinawa",3,"","",""
2020,3,11,"北海道","Hokkaido",118,1069,"",""
2020,3,11,"青森県","Aomori",0,58,"",""
2020,3,11,"岩手県","Iwate",0,20,"",""
2020,3,11,"宮城県","Miyagi",1,94,"",""
2020,3,11,"秋田県","Akita",2,40,"",""
2020,3,11,"山形県","Yamagata",0,96,"",""
2020,3,11,"福島県","Fukushima",1,93,"",""
2020,3,11,"茨城県","Ibaraki",0,302,"",""
2020,3,11,"栃木県","Tochigi",2,170,"",""
2020,3,11,"群馬県","Gunma",1,81,"",""
2020,3,11,"埼玉県","Saitama",12,264,"",""
2020,3,11,"千葉県","Chiba",25,"","",""
2020,3,11,"東京都","Tokyo",73,1401,"",""
2020,3,11,"神奈川県","Kanagawa",43,"","",""
2020,3,11,"新潟県","Niigata",11,"","",""
2020,3,11,"富山県","Toyama",0,44,"",""
2020,3,11,"石川県","Ishikawa",7,134,"",""
2020,3,11,"福井県","Fukui",0,71,"",""
2020,3,11,"山梨県","Yamanashi",2,236,"",""
2020,3,11,"長野県","Nagano",3,231,"",""
2020,3,11,"岐阜県","Gifu",2,201,"",""
2020,3,11,"静岡県","Shizuoka",2,"","",""
2020,3,11,"愛知県","Aichi",104,274,"",""
2020,3,11,"三重県","Mie",2,155,"",""
2020,3,11,"滋賀県","Shiga",1,88,"",""
2020,3,11,"京都府","Kyoto",15,440,"",""
2020,3,11,"大阪府","Osaka",80,"","",""
2020,3,11,"兵庫県","Hyogo",35,443,"",""
2020,3,11,"奈良県","Nara",8,102,"",""
2020,3,11,"和歌山県","Wakayama",14,982,"",""
2020,3,11,"鳥取県","Tottori",0,82,"",""
2020,3,11,"島根県","Shimane",0,64,"",""
2020,3,11,"岡山県","Okayama",0,125,"",""
2020,3,11,"広島県","Hiroshima",1,290,"",""
2020,3,11,"山口県","Yamaguchi",3,113,"",""
2020,3,11,"徳島県","Tokushima",1,62,"",""
2020,3,11,"香川県","Kagawa",0,88,"",""
2020,3,11,"愛媛県","Ehime",2,149,"",""
2020,3,11,"高知県","Kochi",12,157,"",""
2020,3,11,"福岡県","Fukuoka",3,492,"",""
2020,3,11,"佐賀県","Saga",0,47,"",""
2020,3,11,"長崎県","Nagasaki",0,133,"",""
2020,3,11,"熊本県","Kumamoto",6,"","",""
2020,3,11,"大分県","Oita",1,137,"",""
2020,3,11,"宮崎県","Miyazaki",1,78,"",""
2020,3,11,"鹿児島県","Kagoshima",0,"","",""
2020,3,11,"沖縄県","Okinawa",3,190,"",""
2020,3,12,"北海道","Hokkaido",128,1250,"",""
2020,3,12,"青森県","Aomori",0,66,"",""
2020,3,12,"岩手県","Iwate",0,22,"",""
2020,3,12,"宮城県","Miyagi",1,100,"",""
2020,3,12,"秋田県","Akita",2,92,"",""
2020,3,12,"山形県","Yamagata",0,103,"",""
2020,3,12,"福島県","Fukushima",1,100,"",""
2020,3,12,"茨城県","Ibaraki",0,342,"",""
2020,3,12,"栃木県","Tochigi",2,193,"",""
2020,3,12,"群馬県","Gunma",1,103,"",""
2020,3,12,"埼玉県","Saitama",18,440,"",""
2020,3,12,"千葉県","Chiba",27,"","",""
2020,3,12,"東京都","Tokyo",75,1485,"",""
2020,3,12,"神奈川県","Kanagawa",43,"","",""
2020,3,12,"新潟県","Niigata",14,"","",""
2020,3,12,"富山県","Toyama",0,47,"",""
2020,3,12,"石川県","Ishikawa",7,144,"",""
2020,3,12,"福井県","Fukui",0,73,"",""
2020,3,12,"山梨県","Yamanashi",2,251,"",""
2020,3,12,"長野県","Nagano",3,245,"",""
2020,3,12,"岐阜県","Gifu",2,205,"",""
2020,3,12,"静岡県","Shizuoka",3,"","",""
2020,3,12,"愛知県","Aichi",111,1009,"",""
2020,3,12,"三重県","Mie",7,181,"",""
2020,3,12,"滋賀県","Shiga",1,91,"",""
2020,3,12,"京都府","Kyoto",17,544,"",""
2020,3,12,"大阪府","Osaka",89,"","",""
2020,3,12,"兵庫県","Hyogo",43,540,"",""
2020,3,12,"奈良県","Nara",8,113,"",""
2020,3,12,"和歌山県","Wakayama",14,996,"",""
2020,3,12,"鳥取県","Tottori",0,86,"",""
2020,3,12,"島根県","Shimane",0,76,"",""
2020,3,12,"岡山県","Okayama",0,141,"",""
2020,3,12,"広島県","Hiroshima",1,376,"",""
2020,3,12,"山口県","Yamaguchi",3,122,"",""
2020,3,12,"徳島県","Tokushima",1,67,"",""
2020,3,12,"香川県","Kagawa",0,91,"",""
2020,3,12,"愛媛県","Ehime",2,153,"",""
2020,3,12,"高知県","Kochi",12,221,"",""
2020,3,12,"福岡県","Fukuoka",3,509,"",""
2020,3,12,"佐賀県","Saga",0,50,"",""
2020,3,12,"長崎県","Nagasaki",0,140,"",""
2020,3,12,"熊本県","Kumamoto",6,"","",""
2020,3,12,"大分県","Oita",1,138,"",""
2020,3,12,"宮崎県","Miyazaki",1,97,"",""
2020,3,12,"鹿児島県","Kagoshima",0,"","",""
2020,3,12,"沖縄県","Okinawa",3,196,"",""
2020,3,13,"北海道","Hokkaido",136,1322,"",""
2020,3,13,"青森県","Aomori",0,70,"",""
2020,3,13,"岩手県","Iwate",0,22,"",""
2020,3,13,"宮城県","Miyagi",1,109,"",""
2020,3,13,"秋田県","Akita",2,94,"",""
2020,3,13,"山形県","Yamagata",0,110,"",""
2020,3,13,"福島県","Fukushima",1,107,"",""
2020,3,13,"茨城県","Ibaraki",0,389,"",""
2020,3,13,"栃木県","Tochigi",2,201,"",""
2020,3,13,"群馬県","Gunma",3,115,"",""
2020,3,13,"埼玉県","Saitama",21,440,"",""
2020,3,13,"千葉県","Chiba",29,"","",""
2020,3,13,"東京都","Tokyo",77,1543,"",""
2020,3,13,"神奈川県","Kanagawa",46,"","",""
2020,3,13,"新潟県","Niigata",14,"","",""
2020,3,13,"富山県","Toyama",0,49,"",""
2020,3,13,"石川県","Ishikawa",7,146,"",""
2020,3,13,"福井県","Fukui",0,74,"",""
2020,3,13,"山梨県","Yamanashi",2,267,"",""
2020,3,13,"長野県","Nagano",3,255,"",""
2020,3,13,"岐阜県","Gifu",2,227,"",""
2020,3,13,"静岡県","Shizuoka",3,"","",""
2020,3,13,"愛知県","Aichi",114,1103,"",""
2020,3,13,"三重県","Mie",7,198,"",""
2020,3,13,"滋賀県","Shiga",1,99,"",""
2020,3,13,"京都府","Kyoto",17,628,"",""
2020,3,13,"大阪府","Osaka",92,"","",""
2020,3,13,"兵庫県","Hyogo",56,581,"",""
2020,3,13,"奈良県","Nara",8,131,"",""
2020,3,13,"和歌山県","Wakayama",14,1008,"",""
2020,3,13,"鳥取県","Tottori",0,93,"",""
2020,3,13,"島根県","Shimane",0,80,"",""
2020,3,13,"岡山県","Okayama",0,141,"",""
2020,3,13,"広島県","Hiroshima",1,423,"",""
2020,3,13,"山口県","Yamaguchi",3,128,"",""
2020,3,13,"徳島県","Tokushima",1,70,"",""
2020,3,13,"香川県","Kagawa",0,98,"",""
2020,3,13,"愛媛県","Ehime",2,161,"",""
2020,3,13,"高知県","Kochi",12,229,"",""
2020,3,13,"福岡県","Fukuoka",3,522,"",""
2020,3,13,"佐賀県","Saga",1,52,"",""
2020,3,13,"長崎県","Nagasaki",0,150,"",""
2020,3,13,"熊本県","Kumamoto",6,"","",""
2020,3,13,"大分県","Oita",1,148,"",""
2020,3,13,"宮崎県","Miyazaki",1,113,"",""
2020,3,13,"鹿児島県","Kagoshima",0,"","",""
2020,3,13,"沖縄県","Okinawa",3,198,"",""
2020,3,14,"北海道","Hokkaido",142,1322,"",""
2020,3,14,"青森県","Aomori",0,70,"",""
2020,3,14,"岩手県","Iwate",0,22,"",""
2020,3,14,"宮城県","Miyagi",1,109,"",""
2020,3,14,"秋田県","Akita",2,94,"",""
2020,3,14,"山形県","Yamagata",0,110,"",""
2020,3,14,"福島県","Fukushima",2,107,"",""
2020,3,14,"茨城県","Ibaraki",0,389,"",""
2020,3,14,"栃木県","Tochigi",2,201,"",""
2020,3,14,"群馬県","Gunma",5,115,"",""
2020,3,14,"埼玉県","Saitama",28,440,"",""
2020,3,14,"千葉県","Chiba",31,"","",""
2020,3,14,"東京都","Tokyo",87,1614,"",""
2020,3,14,"神奈川県","Kanagawa",49,"","",""
2020,3,14,"新潟県","Niigata",14,"","",""
2020,3,14,"富山県","Toyama",0,49,"",""
2020,3,14,"石川県","Ishikawa",7,146,"",""
2020,3,14,"福井県","Fukui",0,74,"",""
2020,3,14,"山梨県","Yamanashi",2,267,"",""
2020,3,14,"長野県","Nagano",4,255,"",""
2020,3,14,"岐阜県","Gifu",2,227,"",""
2020,3,14,"静岡県","Shizuoka",3,"","",""
2020,3,14,"愛知県","Aichi",121,1103,"",""
2020,3,14,"三重県","Mie",8,198,"",""
2020,3,14,"滋賀県","Shiga",1,99,"",""
2020,3,14,"京都府","Kyoto",17,628,"",""
2020,3,14,"大阪府","Osaka",102,"","",""
2020,3,14,"兵庫県","Hyogo",60,581,"",""
2020,3,14,"奈良県","Nara",8,131,"",""
2020,3,14,"和歌山県","Wakayama",14,1008,"",""
2020,3,14,"鳥取県","Tottori",0,93,"",""
2020,3,14,"島根県","Shimane",0,80,"",""
2020,3,14,"岡山県","Okayama",0,141,"",""
2020,3,14,"広島県","Hiroshima",1,423,"",""
2020,3,14,"山口県","Yamaguchi",3,128,"",""
2020,3,14,"徳島県","Tokushima",1,70,"",""
2020,3,14,"香川県","Kagawa",0,98,"",""
2020,3,14,"愛媛県","Ehime",2,161,"",""
2020,3,14,"高知県","Kochi",12,229,"",""
2020,3,14,"福岡県","Fukuoka",3,522,"",""
2020,3,14,"佐賀県","Saga",1,52,"",""
2020,3,14,"長崎県","Nagasaki",1,150,"",""
2020,3,14,"熊本県","Kumamoto",6,"","",""
2020,3,14,"大分県","Oita",1,148,"",""
2020,3,14,"宮崎県","Miyazaki",1,113,"",""
2020,3,14,"鹿児島県","Kagoshima",0,"","",""
2020,3,14,"沖縄県","Okinawa",3,198,"",""
2020,3,15,"北海道","Hokkaido",148,1322,"",""
2020,3,15,"青森県","Aomori",0,70,"",""
2020,3,15,"岩手県","Iwate",0,22,"",""
2020,3,15,"宮城県","Miyagi",1,109,"",""
2020,3,15,"秋田県","Akita",2,94,"",""
2020,3,15,"山形県","Yamagata",0,110,"",""
2020,3,15,"福島県","Fukushima",2,107,"",""
2020,3,15,"茨城県","Ibaraki",0,389,"",""
2020,3,15,"栃木県","Tochigi",2,201,"",""
2020,3,15,"群馬県","Gunma",5,115,"",""
2020,3,15,"埼玉県","Saitama",28,440,"",""
2020,3,15,"千葉県","Chiba",31,"","",""
2020,3,15,"東京都","Tokyo",90,1614,"",""
2020,3,15,"神奈川県","Kanagawa",54,"","",""
2020,3,15,"新潟県","Niigata",14,"","",""
2020,3,15,"富山県","Toyama",0,49,"",""
2020,3,15,"石川県","Ishikawa",7,146,"",""
2020,3,15,"福井県","Fukui",0,74,"",""
2020,3,15,"山梨県","Yamanashi",2,267,"",""
2020,3,15,"長野県","Nagano",4,255,"",""
2020,3,15,"岐阜県","Gifu",2,227,"",""
2020,3,15,"静岡県","Shizuoka",3,"","",""
2020,3,15,"愛知県","Aichi",121,1103,"",""
2020,3,15,"三重県","Mie",8,198,"",""
2020,3,15,"滋賀県","Shiga",2,99,"",""
2020,3,15,"京都府","Kyoto",17,628,"",""
2020,3,15,"大阪府","Osaka",106,"","",""
2020,3,15,"兵庫県","Hyogo",62,581,"",""
2020,3,15,"奈良県","Nara",8,131,"",""
2020,3,15,"和歌山県","Wakayama",15,1008,"",""
2020,3,15,"鳥取県","Tottori",0,93,"",""
2020,3,15,"島根県","Shimane",0,80,"",""
2020,3,15,"岡山県","Okayama",0,141,"",""
2020,3,15,"広島県","Hiroshima",1,423,"",""
2020,3,15,"山口県","Yamaguchi",3,128,"",""
2020,3,15,"徳島県","Tokushima",1,70,"",""
2020,3,15,"香川県","Kagawa",0,98,"",""
2020,3,15,"愛媛県","Ehime",2,161,"",""
2020,3,15,"高知県","Kochi",12,229,"",""
2020,3,15,"福岡県","Fukuoka",3,522,"",""
2020,3,15,"佐賀県","Saga",1,52,"",""
2020,3,15,"長崎県","Nagasaki",1,150,"",""
2020,3,15,"熊本県","Kumamoto",6,"","",""
2020,3,15,"大分県","Oita",1,148,"",""
2020,3,15,"宮崎県","Miyazaki",1,113,"",""
2020,3,15,"鹿児島県","Kagoshima",0,"","",""
2020,3,15,"沖縄県","Okinawa",3,198,"",""
2020,3,16,"北海道","Hokkaido",152,1462,"",""
2020,3,16,"青森県","Aomori",0,72,"",""
2020,3,16,"岩手県","Iwate",0,24,"",""
2020,3,16,"宮城県","Miyagi",1,129,"",""
2020,3,16,"秋田県","Akita",2,103,"",""
2020,3,16,"山形県","Yamagata",0,112,"",""
2020,3,16,"福島県","Fukushima",2,116,"",""
2020,3,16,"茨城県","Ibaraki",0,419,"",""
2020,3,16,"栃木県","Tochigi",2,221,"",""
2020,3,16,"群馬県","Gunma",6,115,"",""
2020,3,16,"埼玉県","Saitama",28,584,"",""
